cell,id,f_1,r_1,i_1,f_2,r_2,i_2,f_3,r_3,i_3,f_4,r_4,i_4,f_5,r_5,i_5,f_6,r_6,i_6,f_7,r_7,i_7,f_8,r_8,i_8,f_9,r_9,i_9,f_10,r_10,i_10,f_11,r_11,i_11,f_12,r_12,i_12,f_13,r_13,i_13,f_14,r_14,i_14,f_15,r_15,i_15,f_16,r_16,i_16,f_17,r_17,i_17,f_18,r_18,i_18,f_19,r_19,i_19,f_20,r_20,i_20,f_21,r_21,i_21,f_22,r_22,i_22,f_23,r_23,i_23,f_24,r_24,i_24,f_25,r_25,i_25,f_26,r_26,i_26,f_27,r_27,i_27,f_28,r_28,i_28,f_29,r_29,i_29,f_30,r_30,i_30,f_31,r_31,i_31,f_32,r_32,i_32,f_33,r_33,i_33,f_34,r_34,i_34,f_35,r_35,i_35,f_36,r_36,i_36,f_37,r_37,i_37,f_38,r_38,i_38,f_39,r_39,i_39,f_40,r_40,i_40,f_41,r_41,i_41,f_42,r_42,i_42,f_43,r_43,i_43,f_44,r_44,i_44,f_45,r_45,i_45,f_46,r_46,i_46,f_47,r_47,i_47,f_48,r_48,i_48,f_49,r_49,i_49,f_50,r_50,i_50,f_51,r_51,i_51,f_52,r_52,i_52,f_53,r_53,i_53,f_54,r_54,i_54,f_55,r_55,i_55,f_56,r_56,i_56,f_57,r_57,i_57,f_58,r_58,i_58,f_59,r_59,i_59,f_60,r_60,i_60,temperature,soh,soc
2,5216,20004.453,0.30041,-0.02813,15829.126,0.30715,-0.00715,12516.703,0.31381,0.00994,9909.4424,0.32267,0.02606,7835.48,0.33092,0.0378,6217.2461,0.34123,0.05014,4905.291,0.35292,0.05976,3881.2737,0.36579,0.07057,3070.9827,0.37752,0.08071,2430.7778,0.39109,0.08905,1923.1537,0.40545,0.09654,1522.4358,0.42204,0.10696,1203.8446,0.43793,0.11551,952.86591,0.45609,0.12405,754.27557,0.47688,0.13205,596.71857,0.49599,0.1426,471.96338,0.51768,0.14928,373.20856,0.5429,0.157,295.47278,0.56512,0.16775,233.87738,0.59135,0.17461,185.05922,0.61858,0.18275,146.35823,0.64546,0.19072,115.77804,0.6742,0.19955,91.6721,0.7053,0.20731,72.51701,0.73691,0.21452,57.36816,0.76789,0.22253,45.3629,0.79873,0.22913,35.93134,0.8304,0.23938,28.40909,0.86215,0.24965,22.48202,0.89381,0.26629,17.79613,0.92921,0.28382,14.06813,0.96731,0.30836,11.1448,1.01145,0.33573,8.81772,1.06667,0.36508,6.97545,1.1317,0.38151,5.5173,1.19983,0.41226,4.36941,1.28507,0.41543,3.45686,1.37435,0.42968,2.73547,1.45001,0.41394,2.16054,1.53373,0.38585,1.70952,1.60449,0.35709,1.35352,1.65733,0.32,1.07079,1.70155,0.2803,0.84734,1.73638,0.24461,0.67072,1.76378,0.21477,0.53067,1.78332,0.1922,0.41976,1.79768,0.17368,0.33183,1.81026,0.16031,0.26261,1.82255,0.15189,0.20791,1.8343,0.14974,0.16452,1.84513,0.15364,0.13007,1.85605,0.16169,0.10309,1.87061,0.17298,0.08153,1.89141,0.1925,0.06443,1.91474,0.22223,0.05102,1.93578,0.26081,0.04042,1.95638,0.29818,0.03192,1.98866,0.33386,0.02528,2.03525,0.37683,0.01999,2.08943,0.43169,25,100,90
2,5214,20004.453,0.28533,-0.02969,15829.126,0.29012,-0.00923,12516.703,0.29873,0.00845,9909.4424,0.30797,0.0254,7835.48,0.31561,0.0374,6217.2461,0.32604,0.05062,4905.291,0.33671,0.06082,3881.2737,0.34845,0.06885,3070.9827,0.36222,0.08096,2430.7778,0.37481,0.0898,1923.1537,0.38838,0.09958,1522.4358,0.40685,0.1073,1203.8446,0.42454,0.11651,952.86591,0.44131,0.12407,754.27557,0.46034,0.13286,596.71857,0.48129,0.14197,471.96338,0.50411,0.14819,373.20856,0.52671,0.15547,295.47278,0.55057,0.16296,233.87738,0.57671,0.16986,185.05922,0.60189,0.17933,146.35823,0.62931,0.18504,115.77804,0.65699,0.19036,91.6721,0.68778,0.19715,72.51701,0.71801,0.20244,57.36816,0.75006,0.21015,45.3629,0.78012,0.21555,35.93134,0.81149,0.2195,28.40909,0.84308,0.22847,22.48202,0.87684,0.23793,17.79613,0.91558,0.24661,14.06813,0.95591,0.25611,11.1448,1.0005,0.26227,8.81772,1.04978,0.26747,6.97545,1.10336,0.26261,5.5173,1.14746,0.24987,4.36941,1.19537,0.23767,3.45686,1.23308,0.21878,2.73547,1.26584,0.19596,2.16054,1.29536,0.17623,1.70952,1.31566,0.15757,1.35352,1.33191,0.14127,1.07079,1.34702,0.126,0.84734,1.36016,0.11668,0.67072,1.37157,0.10922,0.53067,1.38001,0.10494,0.41976,1.38913,0.10249,0.33183,1.39985,0.10285,0.26261,1.41011,0.10717,0.20791,1.41933,0.11462,0.16452,1.42806,0.12364,0.13007,1.43885,0.13369,0.10309,1.45261,0.14763,0.08153,1.46892,0.16754,0.06443,1.48635,0.19256,0.05102,1.50375,0.21849,0.04042,1.53005,0.24638,0.03192,1.56697,0.28539,0.02528,1.60501,0.33756,0.01999,1.64008,0.39374,25,100,50
2,5213,20004.453,0.28441,-0.02916,15829.126,0.29035,-0.00783,12516.703,0.29791,0.01011,9909.4424,0.30787,0.02529,7835.48,0.31591,0.0389,6217.2461,0.32487,0.04952,4905.291,0.33526,0.06128,3881.2737,0.34907,0.07221,3070.9827,0.36292,0.08105,2430.7778,0.37602,0.08944,1923.1537,0.39011,0.09908,1522.4358,0.40569,0.10764,1203.8446,0.42256,0.11709,952.86591,0.44091,0.12402,754.27557,0.4604,0.1319,596.71857,0.48052,0.14059,471.96338,0.50362,0.149,373.20856,0.52833,0.15622,295.47278,0.55054,0.16492,233.87738,0.5763,0.17107,185.05922,0.60345,0.17681,146.35823,0.6318,0.1843,115.77804,0.65934,0.19032,91.6721,0.68763,0.19546,72.51701,0.71831,0.20195,57.36816,0.74843,0.20746,45.3629,0.77956,0.21299,35.93134,0.81128,0.2201,28.40909,0.84366,0.22726,22.48202,0.87763,0.2377,17.79613,0.91545,0.2468,14.06813,0.95529,0.25509,11.1448,1.0047,0.26173,8.81772,1.04882,0.26115,6.97545,1.09667,0.25753,5.5173,1.15078,0.24547,4.36941,1.18894,0.23486,3.45686,1.22497,0.21311,2.73547,1.25704,0.19215,2.16054,1.28206,0.16879,1.70952,1.30726,0.1494,1.35352,1.33058,0.13562,1.07079,1.34673,0.1303,0.84734,1.35495,0.12833,0.67072,1.35911,0.12475,0.53067,1.35985,0.11668,0.41976,1.36471,0.10673,0.33183,1.37623,0.09664,0.26261,1.39665,0.09187,0.20791,1.42237,0.09673,0.16452,1.44926,0.11622,0.13007,1.46805,0.1494,0.10309,1.47241,0.18666,0.08153,1.4657,0.21713,0.06443,1.46253,0.23847,0.05102,1.4677,0.24451,0.04042,1.49126,0.25415,0.03192,1.53263,0.27336,0.02528,1.58832,0.30415,0.01999,1.6592,0.35352,25,100,40
2,5210,20004.453,0.29992,-0.02818,15829.126,0.30477,-0.00764,12516.703,0.31273,0.01093,9909.4424,0.32286,0.02553,7835.48,0.33159,0.03803,6217.2461,0.34342,0.04977,4905.291,0.35211,0.06118,3881.2737,0.36275,0.07118,3070.9827,0.37616,0.07942,2430.7778,0.39048,0.08868,1923.1537,0.40559,0.09709,1522.4358,0.42068,0.10464,1203.8446,0.43786,0.11462,952.86591,0.45432,0.12454,754.27557,0.4745,0.13109,596.71857,0.49362,0.13941,471.96338,0.51557,0.1491,373.20856,0.53941,0.15766,295.47278,0.56417,0.16464,233.87738,0.58924,0.17459,185.05922,0.61634,0.18255,146.35823,0.64421,0.19054,115.77804,0.67329,0.19996,91.6721,0.70421,0.20608,72.51701,0.73512,0.21418,57.36816,0.76426,0.22124,45.3629,0.79612,0.23009,35.93134,0.82674,0.23685,28.40909,0.85859,0.24972,22.48202,0.89276,0.26493,17.79613,0.92701,0.28243,14.06813,0.9676,0.30666,11.1448,1.01536,0.33263,8.81772,1.06689,0.35852,6.97545,1.12775,0.38921,5.5173,1.2094,0.40366,4.36941,1.27779,0.42051,3.45686,1.36775,0.41273,2.73547,1.45332,0.40782,2.16054,1.52457,0.3815,1.70952,1.59259,0.3444,1.35352,1.64906,0.30888,1.07079,1.69126,0.27379,0.84734,1.72254,0.24017,0.67072,1.74683,0.21099,0.53067,1.76648,0.18569,0.41976,1.7819,0.16811,0.33183,1.7944,0.15587,0.26261,1.80562,0.14809,0.20791,1.81789,0.14526,0.16452,1.83232,0.14907,0.13007,1.84601,0.16167,0.10309,1.85677,0.17985,0.08153,1.86835,0.1993,0.06443,1.88455,0.22263,0.05102,1.9103,0.24728,0.04042,1.9408,0.28268,0.03192,1.97492,0.32322,0.02528,2.02093,0.36231,0.01999,2.08735,0.41176,25,100,10
2,8619,20004.453,0.29989,-0.0286,15829.126,0.30634,-0.00689,12516.703,0.31363,0.01022,9909.4424,0.32404,0.02574,7835.48,0.33151,0.03804,6217.2461,0.34224,0.04917,4905.291,0.35389,0.05972,3881.2737,0.36619,0.07169,3070.9827,0.37739,0.07958,2430.7778,0.39099,0.08931,1923.1537,0.40589,0.09769,1522.4358,0.42116,0.10636,1203.8446,0.43884,0.11515,952.86591,0.45629,0.12401,754.27557,0.47475,0.13209,596.71857,0.49705,0.14139,471.96338,0.51783,0.14788,373.20856,0.53871,0.15876,295.47278,0.56412,0.166,233.87738,0.59006,0.17439,185.05922,0.61614,0.18243,146.35823,0.64478,0.19128,115.77804,0.67593,0.20013,91.6721,0.70405,0.20784,72.51701,0.73671,0.21416,57.36816,0.76723,0.22231,45.3629,0.79896,0.22942,35.93134,0.82906,0.23967,28.40909,0.86114,0.24895,22.48202,0.89409,0.26509,17.79613,0.92736,0.28429,14.06813,0.96888,0.3062,11.1448,1.01499,0.33335,8.81772,1.06727,0.36071,6.97545,1.13184,0.39525,5.5173,1.20836,0.40348,4.36941,1.28145,0.42793,3.45686,1.36483,0.41975,2.73547,1.458,0.41319,2.16054,1.53273,0.3923,1.70952,1.5999,0.35551,1.35352,1.65809,0.31749,1.07079,1.70293,0.28113,0.84734,1.73572,0.24676,0.67072,1.76155,0.21611,0.53067,1.78227,0.19054,0.41976,1.79932,0.1721,0.33183,1.81289,0.16033,0.26261,1.82366,0.15475,0.20791,1.83328,0.15227,0.16452,1.84421,0.15365,0.13007,1.85738,0.16103,0.10309,1.87088,0.17612,0.08153,1.88546,0.19503,0.06443,1.9053,0.21961,0.05102,1.93509,0.2461,0.04042,1.97147,0.28857,0.03192,2.0068,0.34297,0.02528,2.03937,0.39659,0.01999,2.08247,0.44228,25,99,90
2,8625,20004.453,0.50019,-0.02049,15829.126,0.5052,-0.00583,12516.703,0.51151,0.00724,9909.4424,0.51909,0.0159,7835.48,0.5253,0.02739,6217.2461,0.53462,0.03398,4905.291,0.54092,0.03975,3881.2737,0.54892,0.04691,3070.9827,0.55915,0.05157,2430.7778,0.56681,0.05767,1923.1537,0.57542,0.06133,1522.4358,0.58673,0.06581,1203.8446,0.59696,0.07014,952.86591,0.60881,0.07613,754.27557,0.62043,0.07987,596.71857,0.63046,0.08343,471.96338,0.64598,0.08752,373.20856,0.65865,0.0927,295.47278,0.67408,0.09558,233.87738,0.68696,0.10051,185.05922,0.70369,0.1038,146.35823,0.71766,0.10814,115.77804,0.73266,0.11371,91.6721,0.75016,0.1176,72.51701,0.76533,0.12438,57.36816,0.78319,0.13108,45.3629,0.80298,0.13878,35.93134,0.82314,0.14883,28.40909,0.84738,0.15825,22.48202,0.87421,0.16534,17.79613,0.90643,0.17126,14.06813,0.93926,0.17458,11.1448,0.97298,0.1708,8.81772,1.0059,0.16576,6.97545,1.03549,0.1529,5.5173,1.0603,0.14067,4.36941,1.08276,0.12497,3.45686,1.09926,0.11106,2.73547,1.11331,0.0978,2.16054,1.12348,0.08531,1.70952,1.1328,0.0755,1.35352,1.13841,0.06814,1.07079,1.14384,0.06177,0.84734,1.14991,0.05796,0.67072,1.15424,0.05593,0.53067,1.1581,0.05669,0.41976,1.16184,0.05807,0.33183,1.16685,0.06066,0.26261,1.17281,0.06587,0.20791,1.17921,0.07435,0.16452,1.18424,0.08435,0.13007,1.19098,0.09582,0.10309,1.20164,0.10891,0.08153,1.2163,0.12869,0.06443,1.23146,0.15276,0.05102,1.24425,0.1779,0.04042,1.26397,0.19946,0.03192,1.29492,0.22596,0.02528,1.33291,0.26255,0.01999,1.36789,0.30444,35,99,90
2,8631,20004.453,0.5875,-0.02779,15829.126,0.59382,-0.01227,12516.703,0.6005,0.00037,9909.4424,0.60681,0.00989,7835.48,0.61317,0.01791,6217.2461,0.62177,0.02502,4905.291,0.62586,0.02968,3881.2737,0.63472,0.03576,3070.9827,0.64008,0.04131,2430.7778,0.64721,0.04367,1923.1537,0.65479,0.04738,1522.4358,0.66252,0.05103,1203.8446,0.67197,0.05338,952.86591,0.68051,0.0564,754.27557,0.6886,0.05973,596.71857,0.69796,0.06062,471.96338,0.70675,0.06489,373.20856,0.71707,0.0683,295.47278,0.72672,0.07181,233.87738,0.73717,0.07593,185.05922,0.74818,0.07751,146.35823,0.75944,0.08225,115.77804,0.77046,0.08758,91.6721,0.782,0.09132,72.51701,0.79509,0.1003,57.36816,0.80934,0.10547,45.3629,0.82676,0.11245,35.93134,0.84543,0.11861,28.40909,0.86787,0.12455,22.48202,0.89114,0.13228,17.79613,0.91631,0.13103,14.06813,0.94178,0.12802,11.1448,0.96575,0.12292,8.81772,0.98844,0.11423,6.97545,1.00754,0.10591,5.5173,1.02215,0.09396,4.36941,1.03353,0.08305,3.45686,1.04359,0.07373,2.73547,1.05257,0.06608,2.16054,1.05888,0.06136,1.70952,1.06276,0.057,1.35352,1.06683,0.05371,1.07079,1.07091,0.05213,0.84734,1.07486,0.05277,0.67072,1.07934,0.05431,0.53067,1.08477,0.05792,0.41976,1.09169,0.0641,0.33183,1.0981,0.07538,0.26261,1.10196,0.08917,0.20791,1.1056,0.10277,0.16452,1.11084,0.1162,0.13007,1.11986,0.13149,0.10309,1.13188,0.14876,0.08153,1.14917,0.17005,0.06443,1.1727,0.19717,0.05102,1.20623,0.23097,0.04042,1.2426,0.28557,0.03192,1.27089,0.35665,0.02528,1.28516,0.4305,0.01999,1.2958,0.49514,45,99,90
2,8617,20004.453,0.28474,-0.02953,15829.126,0.29153,-0.00783,12516.703,0.29944,0.00988,9909.4424,0.30843,0.02453,7835.48,0.31652,0.03896,6217.2461,0.32645,0.0503,4905.291,0.33736,0.05929,3881.2737,0.34955,0.0717,3070.9827,0.36139,0.07968,2430.7778,0.37537,0.08936,1923.1537,0.38963,0.09883,1522.4358,0.40549,0.10788,1203.8446,0.42279,0.11681,952.86591,0.44191,0.12474,754.27557,0.4609,0.13285,596.71857,0.4801,0.1398,471.96338,0.50285,0.14709,373.20856,0.5265,0.15709,295.47278,0.55057,0.16419,233.87738,0.57525,0.16988,185.05922,0.60275,0.17782,146.35823,0.62991,0.18458,115.77804,0.65883,0.19073,91.6721,0.68804,0.1984,72.51701,0.71826,0.20349,57.36816,0.74928,0.20959,45.3629,0.78012,0.21312,35.93134,0.81244,0.22067,28.40909,0.84222,0.22779,22.48202,0.87726,0.23572,17.79613,0.91409,0.24765,14.06813,0.9584,0.25725,11.1448,1.00341,0.2646,8.81772,1.05226,0.26453,6.97545,1.10049,0.26448,5.5173,1.15162,0.25383,4.36941,1.19305,0.23875,3.45686,1.23458,0.21785,2.73547,1.26839,0.19768,2.16054,1.29489,0.17806,1.70952,1.31628,0.15709,1.35352,1.33481,0.14088,1.07079,1.35005,0.12834,0.84734,1.36125,0.11715,0.67072,1.37137,0.11047,0.53067,1.38161,0.1047,0.41976,1.39212,0.10265,0.33183,1.40134,0.10444,0.26261,1.40981,0.10722,0.20791,1.42029,0.1123,0.16452,1.43278,0.12086,0.13007,1.44536,0.13457,0.10309,1.45724,0.1527,0.08153,1.46912,0.17168,0.06443,1.48482,0.19367,0.05102,1.50758,0.21755,0.04042,1.53453,0.25171,0.03192,1.56177,0.29095,0.02528,1.59471,0.3293,0.01999,1.64335,0.37268,25,99,50
2,8624,20004.453,0.47084,-0.02958,15829.126,0.47585,-0.01516,12516.703,0.48147,-0.00145,9909.4424,0.48775,0.01133,7835.48,0.49372,0.01935,6217.2461,0.49981,0.02665,4905.291,0.50724,0.03479,3881.2737,0.51411,0.04202,3070.9827,0.52231,0.04643,2430.7778,0.53085,0.05314,1923.1537,0.53903,0.05662,1522.4358,0.5492,0.0605,1203.8446,0.55942,0.06456,952.86591,0.57026,0.07049,754.27557,0.58092,0.07361,596.71857,0.59344,0.0781,471.96338,0.60542,0.08204,373.20856,0.61804,0.08509,295.47278,0.62951,0.08932,233.87738,0.64527,0.09252,185.05922,0.65869,0.09537,146.35823,0.67331,0.09937,115.77804,0.68938,0.10182,91.6721,0.70653,0.1068,72.51701,0.72431,0.11076,57.36816,0.74384,0.11167,45.3629,0.76476,0.11071,35.93134,0.78488,0.11023,28.40909,0.80497,0.10511,22.48202,0.82458,0.09401,17.79613,0.83875,0.08798,14.06813,0.85232,0.07742,11.1448,0.86235,0.06775,8.81772,0.87079,0.0611,6.97545,0.87741,0.05408,5.5173,0.88325,0.04803,4.36941,0.88612,0.04239,3.45686,0.89135,0.03906,2.73547,0.89544,0.03661,2.16054,0.89789,0.03493,1.70952,0.90179,0.03459,1.35352,0.90469,0.03382,1.07079,0.90864,0.03533,0.84734,0.91184,0.03698,0.67072,0.91491,0.03991,0.53067,0.91817,0.0417,0.41976,0.92312,0.04633,0.33183,0.92793,0.05266,0.26261,0.9327,0.05958,0.20791,0.93854,0.06643,0.16452,0.94685,0.07585,0.13007,0.95637,0.08855,0.10309,0.96549,0.10406,0.08153,0.97351,0.1209,0.06443,0.98397,0.13944,0.05102,0.99852,0.15736,0.04042,1.01794,0.1812,0.03192,1.03887,0.21156,0.02528,1.06228,0.2413,0.01999,1.09505,0.27295,35,99,50
2,8630,20004.453,0.54671,-0.03806,15829.126,0.5504,-0.02247,12516.703,0.5543,-0.0092,9909.4424,0.56038,0.00057,7835.48,0.56594,0.01055,6217.2461,0.56869,0.01709,4905.291,0.57757,0.02425,3881.2737,0.58185,0.02995,3070.9827,0.58864,0.03376,2430.7778,0.59444,0.03752,1923.1537,0.60204,0.04005,1522.4358,0.60965,0.0449,1203.8446,0.61651,0.04719,952.86591,0.62266,0.04907,754.27557,0.6321,0.05342,596.71857,0.63961,0.05393,471.96338,0.64749,0.0571,373.20856,0.65683,0.05947,295.47278,0.66618,0.06302,233.87738,0.67483,0.06783,185.05922,0.68612,0.07005,146.35823,0.6965,0.07379,115.77804,0.70994,0.07782,91.6721,0.72218,0.07973,72.51701,0.73787,0.08131,57.36816,0.75572,0.08048,45.3629,0.76957,0.07749,35.93134,0.78317,0.07489,28.40909,0.79644,0.06787,22.48202,0.80812,0.05947,17.79613,0.81693,0.05224,14.06813,0.82262,0.04738,11.1448,0.82799,0.04121,8.81772,0.83196,0.03541,6.97545,0.83549,0.03163,5.5173,0.83874,0.0281,4.36941,0.84097,0.02683,3.45686,0.84258,0.02503,2.73547,0.84512,0.02361,2.16054,0.84763,0.02324,1.70952,0.84989,0.02459,1.35352,0.85216,0.02584,1.07079,0.85446,0.0271,0.84734,0.85772,0.02974,0.67072,0.86019,0.03322,0.53067,0.86305,0.0376,0.41976,0.86634,0.04164,0.33183,0.8714,0.04703,0.26261,0.87692,0.05359,0.20791,0.88301,0.06227,0.16452,0.88916,0.07102,0.13007,0.89656,0.08052,0.10309,0.90696,0.09204,0.08153,0.91913,0.10809,0.06443,0.93115,0.12735,0.05102,0.94164,0.14638,0.04042,0.9558,0.16716,0.03192,0.97752,0.18935,0.02528,1.00382,0.21703,0.01999,1.02889,0.25181,45,99,50
2,8616,20004.453,0.28432,-0.02876,15829.126,0.29066,-0.0094,12516.703,0.29821,0.01056,9909.4424,0.30656,0.02315,7835.48,0.31608,0.03825,6217.2461,0.32691,0.05066,4905.291,0.33878,0.06026,3881.2737,0.34842,0.07108,3070.9827,0.3617,0.08143,2430.7778,0.37488,0.08929,1923.1537,0.39082,0.09941,1522.4358,0.40533,0.10658,1203.8446,0.42285,0.11583,952.86591,0.44158,0.12351,754.27557,0.46133,0.132,596.71857,0.48144,0.13978,471.96338,0.50331,0.14886,373.20856,0.52677,0.15535,295.47278,0.55096,0.16449,233.87738,0.57721,0.17115,185.05922,0.60375,0.17738,146.35823,0.62978,0.18351,115.77804,0.65925,0.18915,91.6721,0.68741,0.19681,72.51701,0.71737,0.20138,57.36816,0.74976,0.20661,45.3629,0.78001,0.2125,35.93134,0.81054,0.22101,28.40909,0.84284,0.2274,22.48202,0.87708,0.23512,17.79613,0.91342,0.24658,14.06813,0.95605,0.25412,11.1448,0.99995,0.26008,8.81772,1.04954,0.26034,6.97545,1.09975,0.2608,5.5173,1.14415,0.24737,4.36941,1.18729,0.23247,3.45686,1.2265,0.20991,2.73547,1.26305,0.19109,2.16054,1.29037,0.17632,1.70952,1.30711,0.1605,1.35352,1.31892,0.14501,1.07079,1.32997,0.12841,0.84734,1.34226,0.11302,0.67072,1.35681,0.10153,0.53067,1.3756,0.09404,0.41976,1.39593,0.09732,0.33183,1.4126,0.11165,0.26261,1.41767,0.13093,0.20791,1.41358,0.14669,0.16452,1.40679,0.15332,0.13007,1.40686,0.15208,0.10309,1.41937,0.14905,0.08153,1.44533,0.15247,0.06443,1.47958,0.16888,0.05102,1.52358,0.19698,0.04042,1.57023,0.24832,0.03192,1.60436,0.319,0.02528,1.61963,0.3901,0.01999,1.62777,0.44365,25,99,40
2,8623,20004.453,0.47219,-0.02991,15829.126,0.47655,-0.0135,12516.703,0.4825,-0.00218,9909.4424,0.48776,0.01084,7835.48,0.49392,0.01993,6217.2461,0.50094,0.02688,4905.291,0.50735,0.03472,3881.2737,0.51335,0.04206,3070.9827,0.5228,0.04619,2430.7778,0.53045,0.05269,1923.1537,0.5416,0.05642,1522.4358,0.54806,0.06117,1203.8446,0.56121,0.06508,952.86591,0.571,0.07001,754.27557,0.58099,0.07368,596.71857,0.59385,0.0772,471.96338,0.60459,0.0818,373.20856,0.61939,0.08628,295.47278,0.6307,0.08809,233.87738,0.64462,0.09154,185.05922,0.65861,0.09459,146.35823,0.67276,0.09891,115.77804,0.68978,0.10224,91.6721,0.70543,0.10544,72.51701,0.72484,0.10989,57.36816,0.74325,0.11349,45.3629,0.76475,0.11062,35.93134,0.78553,0.1092,28.40909,0.8055,0.10495,22.48202,0.82267,0.09587,17.79613,0.83836,0.08713,14.06813,0.85278,0.07878,11.1448,0.86226,0.06935,8.81772,0.87075,0.06046,6.97545,0.87499,0.05669,5.5173,0.88068,0.04863,4.36941,0.88572,0.04149,3.45686,0.89154,0.0386,2.73547,0.89722,0.03874,2.16054,0.89937,0.03983,1.70952,0.89956,0.03972,1.35352,0.89921,0.03798,1.07079,0.90229,0.03511,0.84734,0.90848,0.03297,0.67072,0.9167,0.03344,0.53067,0.92838,0.03873,0.41976,0.93736,0.05065,0.33183,0.93975,0.06735,0.26261,0.93638,0.08197,0.20791,0.93097,0.0896,0.16452,0.92858,0.09027,0.13007,0.93393,0.08858,0.10309,0.95014,0.08886,0.08153,0.976,0.09684,0.06443,1.00451,0.11766,0.05102,1.03886,0.15206,0.04042,1.06195,0.20259,0.03192,1.06941,0.25709,0.02528,1.06666,0.29914,0.01999,1.07145,0.32436,35,99,40
2,8629,20004.453,0.55097,-0.03636,15829.126,0.5555,-0.02115,12516.703,0.56097,-0.00898,9909.4424,0.56645,0.0015,7835.48,0.57009,0.01007,6217.2461,0.57714,0.01795,4905.291,0.58268,0.02283,3881.2737,0.58741,0.03025,3070.9827,0.59452,0.0345,2430.7778,0.60217,0.03669,1923.1537,0.60825,0.0411,1522.4358,0.61654,0.0435,1203.8446,0.6235,0.04744,952.86591,0.63058,0.04861,754.27557,0.63933,0.05171,596.71857,0.64682,0.05539,471.96338,0.65433,0.05825,373.20856,0.6643,0.06152,295.47278,0.67212,0.06265,233.87738,0.68336,0.06602,185.05922,0.69202,0.06987,146.35823,0.70333,0.07365,115.77804,0.7161,0.0778,91.6721,0.73075,0.0803,72.51701,0.74438,0.08294,57.36816,0.76112,0.08097,45.3629,0.77607,0.07918,35.93134,0.79066,0.07392,28.40909,0.80334,0.06782,22.48202,0.81337,0.0605,17.79613,0.82252,0.05441,14.06813,0.82859,0.04683,11.1448,0.83532,0.04275,8.81772,0.83788,0.03638,6.97545,0.84194,0.03198,5.5173,0.84615,0.0292,4.36941,0.84781,0.02861,3.45686,0.84748,0.02645,2.73547,0.85121,0.02421,2.16054,0.85359,0.02223,1.70952,0.85891,0.02204,1.35352,0.86362,0.02581,1.07079,0.8657,0.03177,0.84734,0.86538,0.03838,0.67072,0.86383,0.04145,0.53067,0.86268,0.04144,0.41976,0.86563,0.04052,0.33183,0.87283,0.04029,0.26261,0.88523,0.04319,0.20791,0.90113,0.05273,0.16452,0.9152,0.07131,0.13007,0.92261,0.09537,0.10309,0.91895,0.12101,0.08153,0.91064,0.14724,0.06443,0.9127,0.14847,0.05102,0.93535,0.14856,0.04042,0.9461,0.15639,0.03192,0.97467,0.16735,0.02528,1.01587,0.18881,0.01999,1.06818,0.22939,45,99,40
2,8613,20004.453,0.29965,-0.02829,15829.126,0.30536,-0.0072,12516.703,0.31364,0.01043,9909.4424,0.32369,0.02582,7835.48,0.33023,0.03793,6217.2461,0.3416,0.04908,4905.291,0.35264,0.0617,3881.2737,0.3638,0.07061,3070.9827,0.37698,0.07997,2430.7778,0.38914,0.08874,1923.1537,0.40409,0.0969,1522.4358,0.42101,0.1062,1203.8446,0.4371,0.11504,952.86591,0.4556,0.12257,754.27557,0.47379,0.13138,596.71857,0.4943,0.14101,471.96338,0.51656,0.14855,373.20856,0.5401,0.15659,295.47278,0.5626,0.16619,233.87738,0.589,0.17403,185.05922,0.61527,0.18209,146.35823,0.64303,0.19078,115.77804,0.67265,0.19947,91.6721,0.70373,0.20745,72.51701,0.73432,0.21311,57.36816,0.76452,0.22036,45.3629,0.79669,0.22868,35.93134,0.82735,0.23699,28.40909,0.85952,0.24828,22.48202,0.89025,0.26481,17.79613,0.92621,0.2837,14.06813,0.96428,0.30686,11.1448,1.00803,0.33117,8.81772,1.0634,0.36184,6.97545,1.13254,0.38078,5.5173,1.19566,0.40827,4.36941,1.28597,0.4122,3.45686,1.36704,0.42279,2.73547,1.44452,0.40382,2.16054,1.52807,0.37833,1.70952,1.59308,0.3485,1.35352,1.64433,0.31068,1.07079,1.68801,0.27159,0.84734,1.72261,0.23771,0.67072,1.74811,0.20972,0.53067,1.76653,0.18758,0.41976,1.78047,0.16928,0.33183,1.79313,0.15638,0.26261,1.80466,0.1487,0.20791,1.81542,0.14668,0.16452,1.82595,0.15035,0.13007,1.83863,0.15715,0.10309,1.85556,0.16968,0.08153,1.87682,0.19219,0.06443,1.89883,0.22392,0.05102,1.91627,0.26048,0.04042,1.93677,0.29326,0.03192,1.97181,0.32754,0.02528,2.01763,0.37102,0.01999,2.06893,0.42301,25,99,10
